sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
792;pms5003;3981;-1.269;36.819;2026-07-01T00:58:10.967594+00:00;P1;17.00
792;pms5003;3981;-1.269;36.819;2026-07-01T00:58:10.967594+00:00;P0;11.00
4976;pms5003;76;-1.261;36.782;2026-07-01T00:59:56+00:00;P2;16
4976;pms5003;76;-1.261;36.782;2026-07-01T00:59:56+00:00;P1;18
4976;pms5003;76;-1.261;36.782;2026-07-01T00:59:56+00:00;P0;11
4977;DHT22;76;-1.261;36.782;2026-07-01T00:59:58+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:59:58+00:00;temperature;16.4
4962;pms5003;76;-1.261;36.782;2026-07-01T01:00:28+00:00;P2;12
4962;pms5003;76;-1.261;36.782;2026-07-01T01:00:28+00:00;P1;15
4962;pms5003;76;-1.261;36.782;2026-07-01T01:00:28+00:00;P0;9
4963;DHT22;76;-1.261;36.782;2026-07-01T01:00:30+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T01:00:30+00:00;temperature;16.3
792;pms5003;3981;-1.269;36.819;2026-07-01T01:03:39.145297+00:00;P2;16.80
792;pms5003;3981;-1.269;36.819;2026-07-01T01:03:39.145297+00:00;P1;17.80
792;pms5003;3981;-1.269;36.819;2026-07-01T01:03:39.145297+00:00;P0;11.00
793;DHT22;3981;-1.269;36.819;2026-07-01T01:03:56.657443+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T01:03:56.657443+00:00;temperature;17.30
4976;pms5003;76;-1.261;36.782;2026-07-01T01:05:32+00:00;P2;17
4976;pms5003;76;-1.261;36.782;2026-07-01T01:05:32+00:00;P1;17
4976;pms5003;76;-1.261;36.782;2026-07-01T01:05:32+00:00;P0;11
4977;DHT22;76;-1.261;36.782;2026-07-01T01:05:34+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T01:05:34+00:00;temperature;16.4
4962;pms5003;76;-1.261;36.782;2026-07-01T01:06:04+00:00;P2;14
4962;pms5003;76;-1.261;36.782;2026-07-01T01:06:04+00:00;P1;16
4962;pms5003;76;-1.261;36.782;2026-07-01T01:06:04+00:00;P0;8
4963;DHT22;76;-1.261;36.782;2026-07-01T01:06:06+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T01:06:06+00:00;temperature;16.3
792;pms5003;3981;-1.269;36.819;2026-07-01T01:09:14.913500+00:00;P2;16.25
792;pms5003;3981;-1.269;36.819;2026-07-01T01:09:14.913500+00:00;P1;16.25
792;pms5003;3981;-1.269;36.819;2026-07-01T01:09:14.913500+00:00;P0;11.75
793;DHT22;3981;-1.269;36.819;2026-07-01T01:09:32.397363+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T01:09:32.397363+00:00;temperature;17.30
4976;pms5003;76;-1.261;36.782;2026-07-01T01:11:50+00:00;P2;13
4976;pms5003;76;-1.261;36.782;2026-07-01T01:11:50+00:00;P1;14
4976;pms5003;76;-1.261;36.782;2026-07-01T01:11:50+00:00;P0;8
4977;DHT22;76;-1.261;36.782;2026-07-01T01:11:52+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T01:11:52+00:00;temperature;16.4
4962;pms5003;76;-1.261;36.782;2026-07-01T01:12:23+00:00;P2;19
4962;pms5003;76;-1.261;36.782;2026-07-01T01:12:23+00:00;P1;19
4962;pms5003;76;-1.261;36.782;2026-07-01T01:12:23+00:00;P0;11
4963;DHT22;76;-1.261;36.782;2026-07-01T01:12:25+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T01:12:25+00:00;temperature;16.4
